State,Event,Natural
Tehran,21,18
Khorasan,26,18
Isfahan,24,19
Azarbayjan,23,24
Fars,25,24
Northern Provinces,23,20
Southern Provinces,24,26
Western Provinces,25,18
South East Provinces,19,24
Khuzestan,24,21
